date,cap_rank,stock_id,market,name_short,industry,close,market_cap_bn
2026-09-12,1,2330,TWSE,台積電,24,2410.0,62497.01
2026-09-12,2,2454,TWSE,聯發科,24,4585.0,7358.71
2026-09-12,3,2308,TWSE,台達電,28,1620.0,4208.02
2026-09-12,4,2317,TWSE,鴻海,31,248.0,3490.79
2026-09-12,5,3711,TWSE,日月光投控,24,618.0,2762.81
2026-09-12,6,2881,TWSE,富邦金,17,148.5,2317.69
2026-09-12,7,2383,TWSE,台光電,28,5365.0,1922.39
2026-09-12,8,1303,TWSE,南亞,03,234.5,1859.78
2026-09-12,9,2882,TWSE,國泰金,17,110.5,1790.38
2026-09-12,10,2303,TWSE,聯電,24,140.5,1766.1
2026-09-12,11,2408,TWSE,南亞科,24,493.0,1700.95
2026-09-12,12,3037,TWSE,欣興,28,977.0,1603.54
2026-09-12,13,2382,TWSE,廣達,25,336.5,1382.22
2026-09-12,14,2891,TWSE,中信金,17,67.1,1353.8
2026-09-12,15,3017,TWSE,奇鋐,25,3370.0,1323.3
2026-09-12,16,2887,TWSE,台新新光金,17,42.65,1262.7
2026-09-12,17,2059,TWSE,川湖,28,12080.0,1151.19
2026-09-12,18,7769,TWSE,鴻勁,24,6310.0,1135.36
2026-09-12,19,2412,TWSE,中華電,27,140.5,1089.92
2026-09-12,20,2345,TWSE,智邦,27,1885.0,1057.71
2026-09-12,21,2885,TWSE,元大金,17,70.0,970.51
2026-09-12,22,2360,TWSE,致茂,31,2160.0,918.53
2026-09-12,23,3008,TWSE,大立光,26,6660.0,871.12
2026-09-12,24,3653,TWSE,健策,28,5765.0,848.63
2026-09-12,25,2884,TWSE,玉山金,17,46.3,820.6
2026-09-12,26,3443,TWSE,創意,24,6120.0,820.15
2026-09-12,27,6505,TWSE,台塑化,23,83.6,796.37
2026-09-12,28,2344,TWSE,華邦電,24,171.5,771.75
2026-09-12,29,2886,TWSE,兆豐金,17,51.7,766.89
2026-09-12,30,2883,TWSE,凱基金,17,37.85,702.37
2026-09-12,31,8046,TWSE,南電,28,1080.0,697.86
2026-09-12,32,2357,TWSE,華碩,25,924.0,686.31
2026-09-12,33,2890,TWSE,永豐金,17,43.7,646.42
2026-09-12,34,2880,TWSE,華南金,17,45.85,644.47
2026-09-12,35,2301,TWSE,光寶科,25,277.0,641.56
2026-09-12,36,3231,TWSE,緯創,25,185.5,589.9
2026-09-12,37,2395,TWSE,研華,25,674.0,585.74
2026-09-12,38,2892,TWSE,第一金,17,38.9,559.36
2026-09-12,39,4958,TWSE,臻鼎-KY,28,495.0,553.18
2026-09-12,40,6446,TWSE,藥華藥,22,1280.0,540.72
